        name         |                   title                   
---------------------+-------------------------------------------
 Fishburne, Laurence | CR: Enter the Matrix
 Fishburne, Laurence | The Matrix Online
 Fishburne, Laurence | The Matrix: Path of Neo
 Fishburne, Laurence | Enter the Matrix
 Hall, Tom           | Deus Ex
 Warner, David       | Fallout: A Post-Nuclear Role-Playing Game
(6 rows)

        name         |                   title                   
---------------------+-------------------------------------------
 Fishburne, Laurence | CR: Enter the Matrix
 Fishburne, Laurence | The Matrix Online
 Fishburne, Laurence | The Matrix: Path of Neo
 Fishburne, Laurence | Enter the Matrix
 Hall, Tom           | Deus Ex
 Warner, David       | Fallout: A Post-Nuclear Role-Playing Game
(6 rows)

                                       title                                       | production_year 
-----------------------------------------------------------------------------------+-----------------
 Odd                                                                               |                
 The Courtship of Eddie's Father                                                   |                
 Wild on Spring Break 2001                                                         |                
 The Croods 2                                                                      |            2018
 Mom and Dad                                                                       |            2017
 Southern Fury                                                                     |            2017
 Vengeance: A Love Story                                                           |            2017
 (2016-03-26)                                                                      |            2016
 Army of One                                                                       |            2016
 Avortement génocidaire - SLG Shot #3                                              |            2016
 Dog Eat Dog                                                                       |            2016
 Left Behind                                                                       |            2016
 Snowden                                                                           |            2016
 The Trust                                                                         |            2016
 USS Indianapolis: Men of Courage                                                  |            2016
 (2015-10-09)                                                                      |            2015
 Mega Man VS Astro Boy                                                             |            2015
 Pay the Ghost                                                                     |            2015
 The Death of "Superman Lives": What Happened?                                     |            2015
 The Runner                                                                        |            2015
 (2014-04-11)                                                                      |            2014
 (2014-04-19)                                                                      |            2014
 (#9.25)                                                                           |            2014
 Disney Afternoon                                                                  |            2014
 Dying of the Light                                                                |            2014
 Left Behind                                                                       |            2014
 Major Deegan Pilot                                                                |            2014
 Mojado Mexican                                                                    |            2014
 Nicolas Cage/Emily VanCamp/Kiss                                                   |            2014
 Nicolas Cage/Whoopi Goldberg                                                      |            2014
 Outcast                                                                           |            2014
 Sunrise                                                                           |            2014
 SXSW Flashback 2014                                                               |            2014
 Tokarev                                                                           |            2014
 (#1.22)                                                                           |            2013
 (2013-04-04)                                                                      |            2013
 (2013-04-08)                                                                      |            2013
 (2013-04-25)                                                                      |            2013
 (2013-07-22)                                                                      |            2013
 (#5.80)                                                                           |            2013
 (#8.22)                                                                           |            2013
 (#8.40)                                                                           |            2013
 Bedazzled                                                                         |            2013
 Daring Death                                                                      |            2013
