                                          title                                          | average 
-----------------------------------------------------------------------------------------+---------
 Dev permits Nikki for nightout on Sona's convenience                                    |      10
 Bienvenido a 11-11                                                                      |      10
 (#1.2)                                                                                  |      10
 (#1.4)                                                                                  |      10
 (#1.5)                                                                                  |      10
 (#1.6)                                                                                  |      10
 (#1.7)                                                                                  |      10
 (#2.1)                                                                                  |      10
 (#2.2)                                                                                  |      10
 (#2.3)                                                                                  |      10
 (#2.4)                                                                                  |      10
 (#2.5)                                                                                  |      10
 (#2.6)                                                                                  |      10
 (#2.7)                                                                                  |      10
 Hannah Montana                                                                          |      10
 Wizards of Waverly Place: The Movie - Part 1                                            |      10
 Crazy Leo Special!!                                                                     |      10
 Fysi vs. Kallitexnis                                                                    |      10
 I Ballada tou Andrikou                                                                  |      10
 O Leo Psaxnei Talento!!                                                                 |      10
 Mind Body & Soul                                                                        |      10
 All the Biddies                                                                         |      10
 Coming Home                                                                             |      10
 The Craziest Day: Part 2                                                                |      10
 Chain of Fools - Aretha Franklin Parody                                                 |      10
 Dead in the Water - Cover - Ellie Goulding                                              |      10
 Don't Go Breaking My Heart - RuPaul & Elton John - Parody/Cover FrenchSaba Ep 23        |      10
 Don't Stop Believing                                                                    |      10
 FrenchSABA Ep 14 - Firenze - Single Ladies - Beyonce                                    |      10
 Happy - Pharrell Williams - Tribute/Cover/Parody ELLEN FrenchSABA Ep 25                 |      10
 Help - The Beatles - Cover/Parody/Tribute FrenchSABA Ep 24                              |      10
 I Dreamed A Dream: Les Misérables                                                       |      10
 It's Oh So Quiet                                                                        |      10
 Je suis malade - DALIDA, Serge Lama, Lara Fabian - PARODY                               |      10
 Maybe This Time - Liza Minnelli - Seneca's Beard FrenchSaba Ep 16                       |      10
 My Heart Will Go On: Celine Dion - AVATAR                                               |      10
 Non, Je Ne Regrette Rien: Gravity                                                       |      10
 Someone Like You - Cover/Parody - Adele - FrenchSaba Ep 20                              |      10
 Vogue - Madonna - The Matrix                                                            |      10
 Do Not Forsake Me Oh My Darling: Episode 10 - Living in Harmony                         |      10
 Do Not Forsake Me Oh My Darling: Episode 15 - The Girl Who Was Death                    |      10
 Don Gil von den grünen Hosen                                                            |      10
 Don Rimini: FOMO (Fear Of Missing Out)                                                  |      10
 Don't Be Blind                                                                          |      10
 Don't Hurt My Cat                                                                       |      10
 Don't Let Your Love Annihilate                                                          |      10
 Donna Guy                                                                               |      10
 Double Tap                                                                              |      10
 DP My Wife with Me 5                                                                    |      10
 Dreams and Demons                                                                       |      10
 Drei Jahre                                                                              |      10
 Dual Cell                                                                               |      10
 Ein Berliner in Hamburg                                                                 |      10
 Ein Weihnachtslied in Prosa                                                             |      10
 El Loco Ojo                                                                             |      10
 Elvis Presley: Paternity Suit                                                           |      10
 Elvis: The Great Performances                                                           |      10
 Engelbert Humperdinck: Love Unchained                                                   |      10
 Erased                                                                                  |      10
 Execu-Comp #169 - Classic Super Sex                                                     |      10
 Far East                                                                                |      10
 Film School in a Box                                                                    |      10
 Flavor and Fuel a Story of Modern Craftsmanship                                         |      10
 For Electra's Love                                                                      |      10
 Four Dead Crows: Destitute Blues                                                        |      10
 Foxglove                                                                                |      10
 Frau ohne Liebe                                                                         |      10
 From the Bottom to the Top                                                              |      10
 Fuck Me                                                                                 |      10
 Funny Show Presents: Shadows Without Light                                              |      10
 Fury                                                                                    |      10
 Future Language of Slaves                                                               |      10
 Fågelmannen                                                                             |      10
 Ghost Train                                                                             |      10
 Gideon                                                                                  |      10
 Girl Talk                                                                               |      10
 Girls Loving Girls                                                                      |      10
 God Rocks! BibleToons: Rejoice in the Lord!                                             |      10
 Golden                                                                                  |      10
 Goo Girls 16                                                                            |      10
 Googly                                                                                  |      10
 Gradum a Gradum                                                                         |      10
 Graham's Journal                                                                        |      10
 Große Schmährede an der Stadtmauer                                                      |      10
 Guau                                                                                    |      10
 Guerrilla Warfare Video Fanzine (Never Give Up/World War III)                           |      10
 Heartbeat                                                                               |      10
 Her Love/Life                                                                           |      10
 Herr Puntila und sein Knecht Matti                                                      |      10
 Hexe                                                                                    |      10
 Hey Mister                                                                              |      10
 Hochspannung                                                                            |      10
 Hollywood Halloween                                                                     |      10
 Home Invasion                                                                           |      10
 Homeless in Los Angeles, the Los Angeles Breakdown                                      |      10
 Homestead Artifact                                                                      |      10
 Hot Showers 2                                                                           |      10
 Hunt for Manchester's Serial Killer                                                     |      10
 Hwy                                                                                     |      10
 Hótel Jörð                                                                              |      10
 I Am Their Voice                                                                        |      10
 I don't want to live anywhere else                                                      |      10
 I Will Walk with You                                                                    |      10
 Idiotas                                                                                 |      10
 Illusionen                                                                              |      10
 Imago vocis                                                                             |      10
 In Exile                                                                                |      10
 In Limbo                                                                                |      10
 In Memory                                                                               |      10
 In the Footsteps of Ambedkar                                                            |      10
 In the Moment: Carrie Underwood                                                         |      10
 Inevitable                                                                              |      10
 Injection                                                                               |      10
 Innocent Bi-Standers                                                                    |      10
 Inside the Industry                                                                     |      10
 Inside the Marathon                                                                     |      10
 Inventionland                                                                           |      10
 Iris                                                                                    |      10
 Istrione o figurante?                                                                   |      10
 Ivy Vigilante                                                                           |      10
 Ix Team                                                                                 |      10
 J'ai toujours rêvé d'être un cowboy                                                     |      10
 J.T. Tv Lux: Arrivée de saint Nicolas à la maison de Volaiville                         |      10
 Jan & Dean: On the Run                                                                  |      10
 Jeanne D'Arc auf dem Scheiterhaufen                                                     |      10
 Jeden die Seine                                                                         |      10
 Joe & Claire Go to Space                                                                |      10
 Joseph's Epiphany                                                                       |      10
 Josh's Story                                                                            |      10
 Keane: Live in Chicago                                                                  |      10
 Kein Ersatz für Perlen                                                                  |      10
 Khyaneye madariyam mordab                                                               |      10
 Kinda Work                                                                              |      10
 Knight Watchmen                                                                         |      10
 Know Your Alphabet                                                                      |      10
 Kopf oder Zahl                                                                          |      10
 Kyoko Naturally                                                                         |      10
 L' uomo del passato                                                                     |      10
 L'imposteur                                                                             |      10
 L'incubo                                                                                |      10
 La Cigale et la Fourmi                                                                  |      10
 La croix rouge: le début de la quinzaine                                                |      10
 La Milano di Bagutta                                                                    |      10
 La noche de los Oscar                                                                   |      10
 La visita de Medrano                                                                    |      10
 Lana & Theresa Having It Off                                                            |      10
 Larissa & Mami's Last Breath                                                            |      10
 Las putas de New York                                                                   |      10
 Las Vampirass                                                                           |      10
 Le Riesa                                                                                |      10
 Leadership for All the Mountains You Climb                                              |      10
 Leila                                                                                   |      10
 Les niouzz: les voies de la liberté                                                     |      10
 Let Me Out!                                                                             |      10
 Liens du sang                                                                           |      10
 Life Is Calling My Name                                                                 |      10
 Lifelines                                                                               |      10
 Light Study                                                                             |      10
 Liquid Equilibrium 2008                                                                 |      10
 Livin with Grandma                                                                      |      10
 Livre                                                                                   |      10
 Lo chiamavano Zecchinetta                                                               |      10
 Long Until Gone                                                                         |      10
 Lose the Label                                                                          |      10
 Lost: 10th Anniversary Reunion - Cast and Creators Live at PaleyFest                    |      10
 Love and Death in Shanghai                                                              |      10
 Love: Quit or Die                                                                       |      10
 Magic Castle After Dark                                                                 |      10
 Maharishi                                                                               |      10
 Mahatma Phule                                                                           |      10
 Making Mothers                                                                          |      10
 Maledetta Cuba                                                                          |      10
 Man-Up                                                                                  |      10
 Manicure                                                                                |      10
 Marusia                                                                                 |      10
 McDonald                                                                                |      10
 McDonald's: Good Things                                                                 |      10
 Mes potes ma réalité                                                                    |      10
 Mike and I                                                                              |      10
 Mired                                                                                   |      10
 Misplaced Fury                                                                          |      10
 Miss Adventure at the Hong Kong Rugby Sevens 2013                                       |      10
 Mister Barnett                                                                          |      10
 Moira                                                                                   |      10
 Mom                                                                                     |      10
 Montserrat                                                                              |      10
 Mousetrap                                                                               |      10
 Moving                                                                                  |      10
 Moz5a: The Bedroom Producer                                                             |      10
 Mr. Hitler                                                                              |      10
